Elevation,Slope,Horizontal_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Horizontal_Distance_To_Fire_Points,W_A_1,W_A_2,W_A_3,W_A_4,Soil_Type_1,Soil_Type_2,Soil_Type_3,Soil_Type_4,Soil_Type_5,Soil_Type_6,Soil_Type_10,Soil_Type_11,Soil_Type_12,Soil_Type_13,Soil_Type_14,Soil_Type_17,Soil_Type_18,Soil_Type_19,Soil_Type_20,Soil_Type_21,Soil_Type_22,Soil_Type_23,Soil_Type_24,Soil_Type_26,Soil_Type_29,Soil_Type_30,Soil_Type_31,Soil_Type_32,Soil_Type_33,Soil_Type_34,Soil_Type_35,Soil_Type_37,Soil_Type_38,Soil_Type_39,Soil_Type_40,Cover_Type(Class)
12593,0.5376506024096385,0.2241379310344828,0.0,0.10100580818812864,0.293256370547656,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
21498,0.7118473895582328,0.29310344827586204,0.04869186046511628,0.8448788780280493,0.05335773616781641,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
10774,0.5918674698795179,0.13793103448275862,0.0,0.4948292959342683,0.1865408982120232,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52279,0.6390562248995982,0.2241379310344828,0.09011627906976744,0.5225952684516221,0.7035055610305505,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
22240,0.6139558232931727,0.3448275862068966,0.04869186046511628,0.4642300609151438,0.3992679149655077,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12767,0.4693775100401606,0.2413793103448276,0.0436046511627907,0.2809179770505737,0.16134027875545542,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46892,0.6375502008032127,0.13793103448275862,0.4135174418604651,0.5873353166170846,0.6245248486554977,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55624,0.6812248995983935,0.3103448275862069,0.10901162790697674,0.6063181753789488,0.1731662677741799,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
243,0.6174698795180723,0.27586206896551724,0.2936046511627907,0.4962459271851537,0.09854990848937067,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
52908,0.5491967871485942,0.25862068965517243,0.030523255813953487,0.2650517070406573,0.14655779248204984,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
38975,0.6566265060240962,0.4137931034482759,0.2965116279069767,0.2300609151437881,0.3587216669013094,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
14499,0.6139558232931727,0.1896551724137931,0.0872093023255814,0.2039949001274968,0.2249753625228777,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43293,0.6546184738955821,0.10344827586206896,0.2965116279069767,0.7802804929876753,0.240743347881177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
55134,0.5386546184738955,0.2413793103448276,0.06177325581395349,0.6340841478963026,0.4510770097142054,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
